sex,model,brier_score_type,cindex,cindex_ci_low,cindex_ci_high,uno_cindex,uno_cindex_ci_low,uno_cindex_ci_high,brier,brier_ci_low,brier_ci_high,delta_cindex_vs_qrisk3_style,delta_cindex_vs_qrisk3_style_ci_low,delta_cindex_vs_qrisk3_style_ci_high,delta_uno_cindex_vs_qrisk3_style,delta_uno_cindex_vs_qrisk3_style_ci_low,delta_uno_cindex_vs_qrisk3_style_ci_high,delta_brier_vs_qrisk3_style,delta_brier_vs_qrisk3_style_ci_low,delta_brier_vs_qrisk3_style_ci_high,delta_cindex_vs_coxph,delta_cindex_vs_coxph_ci_low,delta_cindex_vs_coxph_ci_high,delta_uno_cindex_vs_coxph,delta_uno_cindex_vs_coxph_ci_low,delta_uno_cindex_vs_coxph_ci_high,delta_brier_vs_coxph,delta_brier_vs_coxph_ci_low,delta_brier_vs_coxph_ci_high
male,coxph,integrated,0.8098225301645926,0.7944598354603245,0.8240396140557206,0.813409143830205,0.7962717010168864,0.8284158540577022,0.03903336838505095,0.0360450034744545,0.042235465086583344,-0.009799920349178204,-0.016829714304883527,-0.002998779621522908,-0.01040976174591568,-0.018275447434550042,-0.0031895341758335755,-0.019723503594223035,-0.021741201657717903,-0.017839613319092264,,,,,,,,,
male,qrisk3_style,single_timepoint_9.99y,0.8196224505137708,0.8057606587114503,0.8336735177809645,0.8238189055761207,0.809568018950713,0.838861354876147,0.058756871979273984,0.05476383710601105,0.06275035349996813,,,,,,,,,,0.009799920349178204,0.002998779621522907,0.016829714304883524,0.01040976174591568,0.003189534175833575,0.018275447434550042,0.019723503594223035,0.017839613319092264,0.021741201657717903
male,rsf,integrated,0.8072541928582824,0.7924431261954936,0.8222170448175122,0.8109623653874475,0.7943535141302157,0.8262293788707464,0.03919364613079613,0.036150142455936354,0.04240281999975045,-0.012368257655488435,-0.018512051507890308,-0.006533413314794787,-0.012856540188673216,-0.019260161965028177,-0.0066894937500516045,-0.019563225848477854,-0.021592178021451455,-0.01761871974152901,-0.002568337306310231,-0.0064881952657809385,0.0011658093140447603,-0.0024467784427575356,-0.006408600308907705,0.0012077571658292814,0.00016027774574518122,-6.481226761821252e-05,0.0003947739486395884
male,gbsa,integrated,0.808645442515405,0.793814937480156,0.8228729275714793,0.8130538785613974,0.7967912138691362,0.8281238470682906,0.03975053413942745,0.036569775488993136,0.04319624789614239,-0.010977007998365762,-0.01787282141144556,-0.004812861647483447,-0.01076502701472326,-0.018118996207359336,-0.004081036310324645,-0.01900633783984653,-0.021069116162618518,-0.01698893996810777,-0.0011770876491875581,-0.004332019307228235,0.00225934616790189,-0.0003552652688075808,-0.0036157716588496257,0.0030231420986494804,0.0007171657543765045,0.00032950212961443823,0.0011098779568779757
male,deepsurv,integrated,0.80887727920138,0.7934678917459325,0.8236533124399414,0.8118797958843509,0.7953168643323424,0.8271415861923398,0.039206418996768876,0.03617526692952357,0.04241182478335226,-0.010745171312390833,-0.01763004692739937,-0.004493028204175429,-0.011939109691769811,-0.019478257869344075,-0.005278577845627053,-0.019550452982505108,-0.021575005115595187,-0.017631056299274934,-0.0009452509632126294,-0.0036774189869585886,0.0017116981016092373,-0.0015293479458541315,-0.004377300933612741,0.0011591226018206914,0.0001730506117179273,-7.792876980554033e-05,0.00043387137905873146
male,deephit,integrated,0.8084708763771041,0.7934672131240084,0.8233468999875536,0.81203974731112,0.7952824994729869,0.827359777457926,0.03991010668790338,0.036674987784838034,0.04322771664353302,-0.011151574136666675,-0.018527641252352997,-0.003977831350318738,-0.011779158265000644,-0.019978708318212732,-0.0044572779896685545,-0.018846765291370603,-0.021013309316719953,-0.01681310571540367,-0.0013516537874884715,-0.004606463225412016,0.00209815982684208,-0.0013693965190849644,-0.00476290836851592,0.0022324162402398567,0.0008767383028524325,0.0003659045786190369,0.0013811192313020048
female,coxph,integrated,0.8191764050839843,0.801410080836633,0.8379638954703311,0.8206820039690657,0.8006765409209,0.8393453777055145,0.02646889952813628,0.023834753380144014,0.02911484757878779,-0.004307438506104377,-0.012155700668749709,0.0008123316502266396,-0.005089496852597408,-0.01387472392915772,0.0005361892800755851,-0.014250620198233855,-0.015949949052746375,-0.012532453105315167,,,,,,,,,
female,qrisk3_style,single_timepoint_9.99y,0.8234838435900886,0.8061255937540948,0.8413126827432169,0.8257715008216631,0.8072208421049817,0.8433857478811154,0.04071951972637013,0.03746402947790308,0.044098458596140616,,,,,,,,,,0.004307438506104377,-0.0008123316502266413,0.012155700668749707,0.005089496852597408,-0.0005361892800755883,0.013874723929157718,0.014250620198233855,0.012532453105315167,0.015949949052746375
female,rsf,integrated,0.8126909502317213,0.7942703207101673,0.8310898271711072,0.8145991745081315,0.7950110827552435,0.8333369809200457,0.026552088599192558,0.023937418381547927,0.029199826782273758,-0.010792893358367306,-0.017440176636353177,-0.005210661219446505,-0.0111723263135316,-0.01874690339353672,-0.005401478868514701,-0.014167431127177575,-0.01586664364524305,-0.012434717397217925,-0.0064854548522629285,-0.011137207300249035,-0.0011988140535320326,-0.0060828294609341915,-0.011392915668393792,-0.00036915979810760727,8.318907105627979e-05,-8.821194991107559e-05,0.00023977276230262534
female,gbsa,integrated,0.814071167520714,0.795079006058161,0.8332917195083602,0.8167170820636362,0.7960084405461061,0.8359522775992546,0.026746262419660948,0.023996770414484198,0.029448974791369122,-0.009412676069374681,-0.01835409995926743,-0.00264403082793355,-0.009054418758026817,-0.018565553693376955,-0.0016343607211424895,-0.013973257306709185,-0.015701373561591625,-0.012215923650877534,-0.005105237563270304,-0.009116542448594726,-0.0014107721695641121,-0.003964921905429408,-0.008180911889749776,-0.0002046061287638957,0.0002773628915246698,-1.0286031895069454e-05,0.0005522571349719969
