sex,model,predictor,rank_main,rank_resample_1,rank_resample_2,rank_range,robust
female,rsf,age,1.0,1.0,1.0,0.0,True
female,rsf,atrial_fibrillation,5.0,9.0,9.0,4.0,False
female,rsf,chronic_kidney_disease,4.0,2.0,3.0,2.0,True
female,rsf,chronic_obstructive_pulmonary_disorder,10.0,10.0,10.0,0.0,True
female,rsf,diabetes,2.0,4.0,2.0,2.0,True
female,rsf,family_history_of_cardiovascular_disease,7.0,7.0,6.0,1.0,True
female,rsf,hypertension_treated,8.0,8.0,5.0,3.0,False
female,rsf,rheumatoid_arthritis,9.0,5.0,8.0,4.0,False
female,rsf,smoker,6.0,6.0,7.0,1.0,True
female,rsf,systolic_blood_pressure,3.0,3.0,4.0,1.0,True
female,gbsa,age,1.0,1.0,1.0,0.0,True
female,gbsa,atrial_fibrillation,4.0,7.0,6.0,3.0,False
female,gbsa,chronic_kidney_disease,5.0,2.0,5.0,3.0,False
female,gbsa,chronic_obstructive_pulmonary_disorder,10.0,10.0,10.0,0.0,True
female,gbsa,diabetes,2.0,4.0,2.0,2.0,True
female,gbsa,family_history_of_cardiovascular_disease,8.0,8.0,8.0,0.0,True
female,gbsa,hypertension_treated,6.0,5.0,4.0,2.0,True
female,gbsa,rheumatoid_arthritis,9.0,6.0,9.0,3.0,False
female,gbsa,smoker,7.0,9.0,7.0,2.0,True
female,gbsa,systolic_blood_pressure,3.0,3.0,3.0,0.0,True
female,deepsurv,age,2.0,4.0,7.0,5.0,False
female,deepsurv,atrial_fibrillation,4.0,10.0,10.0,6.0,False
female,deepsurv,chronic_kidney_disease,6.0,3.0,4.0,3.0,False
female,deepsurv,chronic_obstructive_pulmonary_disorder,9.0,9.0,3.0,6.0,False
female,deepsurv,diabetes,1.0,6.0,5.0,5.0,False
female,deepsurv,family_history_of_cardiovascular_disease,7.0,1.0,2.0,6.0,False
female,deepsurv,hypertension_treated,5.0,5.0,6.0,1.0,True
female,deepsurv,rheumatoid_arthritis,10.0,8.0,8.0,2.0,True
female,deepsurv,smoker,8.0,7.0,9.0,2.0,True
female,deepsurv,systolic_blood_pressure,3.0,2.0,1.0,2.0,True
female,deephit,age,8.0,2.0,8.0,6.0,False
female,deephit,atrial_fibrillation,3.0,10.0,9.0,7.0,False
female,deephit,chronic_kidney_disease,6.0,4.0,4.0,2.0,True
female,deephit,chronic_obstructive_pulmonary_disorder,10.0,6.0,3.0,7.0,False
female,deephit,diabetes,5.0,8.0,6.0,3.0,False
female,deephit,family_history_of_cardiovascular_disease,2.0,1.0,2.0,1.0,True
female,deephit,hypertension_treated,4.0,7.0,10.0,6.0,False
female,deephit,rheumatoid_arthritis,9.0,9.0,7.0,2.0,True
female,deephit,smoker,7.0,5.0,5.0,2.0,True
female,deephit,systolic_blood_pressure,1.0,3.0,1.0,2.0,True
