sex,model,predictor,rank_main,rank_resample_1,rank_resample_2,rank_range,robust
male,rsf,age,1.0,1.0,1.0,0.0,True
male,rsf,atrial_fibrillation,5.0,7.0,8.0,3.0,False
male,rsf,chronic_kidney_disease,4.0,3.0,4.0,1.0,True
male,rsf,diabetes,3.0,4.0,3.0,1.0,True
male,rsf,family_history_of_cardiovascular_disease,6.0,5.0,5.0,1.0,True
male,rsf,hypertension_treated,7.0,6.0,6.0,1.0,True
male,rsf,rheumatoid_arthritis,9.0,9.0,9.0,0.0,True
male,rsf,smoker,8.0,8.0,7.0,1.0,True
male,rsf,systolic_blood_pressure,2.0,2.0,2.0,0.0,True
male,gbsa,age,1.0,1.0,1.0,0.0,True
male,gbsa,atrial_fibrillation,5.0,5.0,8.0,3.0,False
male,gbsa,chronic_kidney_disease,4.0,4.0,4.0,0.0,True
male,gbsa,diabetes,2.0,3.0,3.0,1.0,True
male,gbsa,family_history_of_cardiovascular_disease,7.0,8.0,7.0,1.0,True
male,gbsa,hypertension_treated,6.0,6.0,5.0,1.0,True
male,gbsa,rheumatoid_arthritis,9.0,7.0,9.0,2.0,True
male,gbsa,smoker,8.0,9.0,6.0,3.0,False
male,gbsa,systolic_blood_pressure,3.0,2.0,2.0,1.0,True
male,deepsurv,age,4.0,2.0,1.0,3.0,False
male,deepsurv,atrial_fibrillation,6.0,6.0,9.0,3.0,False
male,deepsurv,chronic_kidney_disease,7.0,8.0,7.0,1.0,True
male,deepsurv,diabetes,3.0,3.0,5.0,2.0,True
male,deepsurv,family_history_of_cardiovascular_disease,2.0,5.0,3.0,3.0,False
male,deepsurv,hypertension_treated,1.0,7.0,4.0,6.0,False
male,deepsurv,rheumatoid_arthritis,9.0,1.0,8.0,8.0,False
male,deepsurv,smoker,8.0,9.0,6.0,3.0,False
male,deepsurv,systolic_blood_pressure,5.0,4.0,2.0,3.0,False
male,deephit,age,5.0,3.0,3.0,2.0,True
male,deephit,atrial_fibrillation,6.0,4.0,9.0,5.0,False
male,deephit,chronic_kidney_disease,3.0,2.0,6.0,4.0,False
male,deephit,diabetes,4.0,6.0,2.0,4.0,False
male,deephit,family_history_of_cardiovascular_disease,1.0,5.0,4.0,4.0,False
male,deephit,hypertension_treated,2.0,7.0,5.0,5.0,False
male,deephit,rheumatoid_arthritis,9.0,9.0,8.0,1.0,True
male,deephit,smoker,8.0,8.0,7.0,1.0,True
male,deephit,systolic_blood_pressure,7.0,1.0,1.0,6.0,False
